Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,6.764195113829135,4.190046169295361,6.764195113829135,4.190046169295361,-1.448295377989771,14.976685605648042
1971,8.37108255529713,4.210975635619907,15.135277669126264,8.297117426405165,0.11757030948211167,16.62459480111215
1972,9.464469537644137,4.30109471161975,24.599747206770406,12.426336601157915,1.0343239028694278,17.894615172418845
1973,10.355468416637496,4.402240052705614,34.955215623407916,16.611530105481428,1.727077913334492,18.983858919940502
1974,11.289019543591554,4.453691374149305,46.244235166999445,20.64372586568347,2.559784450258915,20.01825463692419
1975,12.279715746736153,4.6941756660137735,58.523950913735604,24.481740536348372,3.0791314413491566,21.480300052123148
1976,13.111813346133847,4.741767255388824,71.63576425986948,28.39296493365189,3.817949525571752,22.40567716669594
1977,13.891669984924679,4.7559871752758935,85.52743424479415,32.333461488932585,4.569935121383928,23.21340484846543
1978,14.754480713662392,4.702172451774536,100.28191495845651,36.020044026186675,5.538222708184302,23.970738719140485
1979,15.602401094387552,4.836866599358409,115.88431605284411,39.504099069733755,6.122142559645072,25.082659629130035
1980,16.4740288088096,4.546495484614087,132.3583448616537,42.7649429482968,7.562897658965989,25.38515995865321
1981,17.333007794020286,4.41251682186031,149.6913526556739,45.81634121454132,8.68447482317408,25.981540764866494
1982,18.106350081926113,4.443309497242255,167.79770273760013,48.977593201171395,9.397463467331294,26.815236696520934
1983,18.896721427182754,4.532051250317199,186.69442416478293,52.32225666669619,10.013900976561045,27.779541877804462
1984,19.73471618213971,4.581161383103273,206.42914034692274,55.77661960470325,10.755639871257294,28.713792493022126
1985,20.62240357560659,4.720095277856356,227.05154392252902,59.34077083651361,11.371016831008133,29.873790320205046
1986,21.468795955774823,4.785965290724942,248.52033987830401,63.07685618279219,12.088303985953937,30.84928792559571
1987,22.339642612334686,4.831898611205582,270.8599824906387,66.97017957013287,12.869121334371744,31.810163890297627
1988,23.247102612811485,4.87551586919954,294.10708510345034,71.00030864540884,13.691091509180387,32.80311371644258
1989,24.19393401715849,4.917523907662808,318.3010191206086,75.14934241122667,14.555587158139387,33.83228087617759
1990,25.186563845288397,4.963714522539865,343.4875829658968,79.40187515130627,15.457683381110261,34.91544430946654
1991,26.229059421361853,5.024236517069853,369.7166423872589,83.7467859232684,16.38155584790494,36.076562994818765
1992,27.300285530179796,5.05444495908917,397.01692791743875,88.16999334228673,17.393573410365022,37.20699764999457
1993,28.424746416853807,5.085908206755531,425.44167433429243,92.65863017554179,18.45636633161297,38.393126502094646
1994,29.61807908175773,5.150548619997583,455.0597534160504,97.20191150482114,19.52300378656247,39.71315437695299
1995,30.83016629295974,5.165727051954877,485.88991970901,101.78965219021902,20.705341271128177,40.9549913147913
1996,32.090589398634336,5.167832401341988,517.9805091076441,106.40861090026921,21.961637892004042,42.21954090526463
1997,33.4054577208992,5.164274489551441,551.3859668285431,111.04561744041996,23.283479721378377,43.52743572042002
1998,34.777257296286706,5.154852905538555,586.1632241248301,115.68759284136591,24.673745601431136,44.880768991142276
1999,36.208591150619206,5.139451921767899,622.3718152754491,120.32139424489685,26.135265383954128,46.281916917284285
2000,37.70218475948846,5.1180746401504695,660.0740000349376,124.93368389522456,27.67075846479354,47.733611054183385
2001,39.260891809639084,5.0908876710657385,699.3348918445763,129.5108199301056,29.282751974350237,49.239031644927934
2002,40.88770037425038,5.058279335220382,740.2225922188273,134.03876788767607,30.97347287721843,50.80192787128233
