introDate,nspec,cumn
1700-01-01,2,2
1711-01-01,1,3
1730-01-01,1,4
1792-01-01,1,5
1827-01-01,1,6
1828-01-01,1,7
1834-01-01,1,8
1835-01-01,2,10
1837-01-01,2,12
1838-01-01,1,13
1842-01-01,1,14
1850-01-01,4,18
1852-01-01,1,19
1853-01-01,1,20
1854-01-01,3,23
1856-01-01,1,24
1858-01-01,3,27
1859-01-01,1,28
1860-01-01,3,31
1861-01-01,1,32
1862-01-01,1,33
1864-01-01,2,35
1866-01-01,1,36
1869-01-01,1,37
1870-01-01,1,38
1871-01-01,1,39
1873-01-01,1,40
1874-01-01,1,41
1876-01-01,3,44
1877-01-01,3,47
1878-01-01,1,48
1879-01-01,1,49
1880-01-01,2,51
1881-01-01,1,52
1882-01-01,3,55
1883-01-01,1,56
1884-01-01,5,61
1885-01-01,2,63
1886-01-01,5,68
1887-01-01,2,70
1889-01-01,1,71
1890-01-01,1,72
1891-01-01,1,73
1892-01-01,1,74
1893-01-01,7,81
1894-01-01,1,82
1895-01-01,4,86
1896-01-01,1,87
1897-01-01,1,88
1899-01-01,1,89
1900-01-01,2,91
1901-01-01,2,93
1902-01-01,1,94
1903-01-01,2,96
1905-01-01,1,97
1908-01-01,2,99
1909-01-01,1,100
1911-01-01,1,101
1912-01-01,2,103
1913-01-01,1,104
1914-01-01,1,105
1915-01-01,1,106
1918-01-01,4,110
1919-01-01,2,112
1920-01-01,5,117
1922-01-01,3,120
1923-01-01,1,121
1924-01-01,4,125
1925-01-01,1,126
1927-01-01,3,129
1931-01-01,1,130
1933-01-01,2,132
1936-01-01,1,133
1937-01-01,2,135
1938-01-01,1,136
1939-01-01,2,138
1940-01-01,2,140
1941-01-01,2,142
1942-01-01,1,143
1943-01-01,3,146
1945-01-01,3,149
1946-01-01,4,153
1948-01-01,2,155
1949-01-01,4,159
1950-01-01,13,172
1951-01-01,2,174
1952-01-01,7,181
1953-01-01,7,188
1954-01-01,2,190
1955-01-01,4,194
1956-01-01,7,201
1957-01-01,2,203
1958-01-01,2,205
1959-01-01,3,208
1960-01-01,1,209
1961-01-01,3,212
1964-01-01,2,214
1965-01-01,4,218
1966-01-01,9,227
1967-01-01,5,232
1968-01-01,4,236
1969-01-01,3,239
1970-01-01,3,242
1971-01-01,2,244
1972-01-01,5,249
1973-01-01,6,255
1974-01-01,8,263
1975-01-01,15,278
1976-01-01,4,282
1977-01-01,7,289
1978-01-01,8,297
1979-01-01,5,302
1980-01-01,10,312
1981-01-01,10,322
1982-01-01,6,328
1983-01-01,8,336
1984-01-01,13,349
1985-01-01,9,358
1986-01-01,18,376
1987-01-01,6,382
1988-01-01,10,392
1989-01-01,8,400
1990-01-01,9,409
1991-01-01,10,419
1992-01-01,13,432
1993-01-01,15,447
1994-01-01,18,465
1995-01-01,18,483
1996-01-01,21,504
1997-01-01,32,536
1998-01-01,27,563
1999-01-01,37,600
2000-01-01,38,638
2001-01-01,40,678
2002-01-01,18,696
2003-01-01,29,725
2004-01-01,40,765
2005-01-01,42,807
2006-01-01,43,850
2007-01-01,42,892
2008-01-01,70,962
2009-01-01,81,1043
2010-01-01,86,1129
2011-01-01,113,1242
2012-01-01,84,1326
2013-01-01,87,1413
2014-01-01,92,1505
2015-01-01,101,1606
2016-01-01,88,1694
2017-01-01,92,1786
2018-01-01,91,1877
2019-01-01,86,1963
2020-01-01,94,2057
2021-01-01,98,2155
2022-01-01,57,2212
2023-01-01,48,2260
2024-01-01,2,2262
2025-01-01,6,2268
